F1,Avg Train Time,Avg Test Time,CLF,Feature Finder,Convert Grey,RootSIFT,PCA First,K Clusters,PCA Ratio,TF-IDF,Incremental Threshold
0.469333333333,4.78063483238,4.02030687332,PassiveAggressiveClassifier,ORB,False,True,True,200.0,0.25,False,15.0
0.469333333333,3.07666344643,2.86766958237,Perceptron,ORB,True,False,True,100.0,0.5,False,20.0
0.469333333333,5.23784279823,4.14805860519,SGDClassifier,ORB,True,True,True,200.0,1.0,False,25.0
0.469333333333,4.18385148048,3.81112866402,BernoulliNB,ORB,True,True,True,100.0,0.5,False,25.0
0.469333333333,2.62998313904,2.71745357513,BernoulliNB,ORB,True,False,True,50.0,0.5,False,20.0
0.468,3.42334499359,3.68628005981,SGDClassifier,ORB,True,True,True,50.0,0.75,False,20.0
0.468,4.69669046402,4.10426397324,PassiveAggressiveClassifier,ORB,True,True,True,200.0,1.0,True,10.0
0.468,4.76849017143,4.14607863426,BernoulliNB,ORB,False,True,True,200.0,0.75,False,20.0
0.468,3.51071343422,3.70408363342,Perceptron,ORB,True,True,True,50.0,0.5,False,10.0
0.468,4.77431225777,4.05721101761,BernoulliNB,ORB,True,True,True,200.0,0.5,True,15.0
0.468,4.49117155075,4.06290340424,PassiveAggressiveClassifier,ORB,True,True,True,200.0,0.5,True,20.0
0.468,3.58168706894,2.92121863365,Perceptron,ORB,False,False,True,100.0,0.75,False,25.0
0.468,4.8543161869,4.08202562332,SGDClassifier,ORB,True,True,True,200.0,0.5,True,15.0
0.468,3.52542929649,3.72012033463,SGDClassifier,ORB,True,True,True,50.0,1.0,False,15.0
0.468,4.3810778141,3.84562416077,PassiveAggressiveClassifier,ORB,True,True,True,100.0,1.0,False,25.0
0.466666666667,3.47325758934,2.85083060265,SGDClassifier,ORB,True,False,True,100.0,1.0,False,25.0
0.466666666667,3.65022892952,3.68961415291,Perceptron,ORB,False,True,True,50.0,0.25,False,25.0
0.466666666667,3.05210943222,2.77244920731,Perceptron,ORB,True,False,True,50.0,0.5,False,25.0
0.466666666667,4.10880932808,3.16505799294,SGDClassifier,ORB,True,False,True,200.0,1.0,False,15.0
0.465333333333,2.72748408318,2.75325756073,BernoulliNB,ORB,False,False,True,50.0,0.75,False,15.0
0.465333333333,2.67071943283,2.73714761734,PassiveAggressiveClassifier,ORB,True,False,True,50.0,0.75,False,20.0
0.465333333333,3.53534698486,2.90077319145,BernoulliNB,ORB,False,False,True,100.0,0.75,True,25.0
0.465333333333,3.54234480858,3.68805356026,Perceptron,ORB,True,True,True,50.0,0.25,False,25.0
0.465333333333,2.94166359901,2.85186357498,BernoulliNB,ORB,True,False,True,100.0,0.25,True,20.0
0.465333333333,4.46947817802,4.12615766525,BernoulliNB,ORB,False,True,True,200.0,0.5,True,20.0
0.465333333333,3.85677995682,3.80715155602,BernoulliNB,ORB,True,True,True,100.0,0.25,False,20.0
0.465333333333,4.0130988121,3.16832742691,Perceptron,ORB,True,False,True,200.0,1.0,True,20.0
0.464,3.15374774933,2.92320418358,BernoulliNB,ORB,False,False,True,100.0,1.0,False,20.0
0.464,3.86926860809,3.80665535927,Perceptron,ORB,True,True,True,100.0,1.0,False,20.0
0.464,5.253510952,4.10845756531,PassiveAggressiveClassifier,ORB,True,True,True,200.0,0.5,True,25.0
0.464,5.58081378937,4.10552620888,Perceptron,ORB,True,True,True,200.0,0.75,False,25.0
0.464,2.68874940872,2.85131216049,SGDClassifier,ORB,False,False,True,50.0,0.75,False,5.0
0.464,3.39557986259,3.61229667664,Perceptron,ORB,True,True,True,25.0,0.25,False,25.0
0.464,3.40186319351,3.60478005409,BernoulliNB,ORB,True,True,True,25.0,0.25,False,25.0
0.464,4.28627910614,3.14854660034,BernoulliNB,ORB,True,False,True,200.0,0.5,True,25.0
0.464,4.77668814659,4.13269872665,SGDClassifier,ORB,False,True,True,200.0,0.5,False,20.0
0.464,4.14348430634,3.15034651756,PassiveAggressiveClassifier,ORB,True,False,True,200.0,0.75,False,15.0
0.462666666667,3.11375145912,2.88678197861,BernoulliNB,ORB,True,False,True,100.0,0.5,True,20.0
0.462666666667,4.43551645279,4.09831357002,Perceptron,ORB,False,True,True,200.0,0.5,True,10.0
0.462666666667,4.62421002388,4.1734099865,Perceptron,ORB,False,True,True,200.0,1.0,True,20.0
0.462666666667,3.5685133934,3.71726441383,PassiveAggressiveClassifier,ORB,False,True,True,50.0,0.25,False,15.0
0.462666666667,3.39207119942,3.69878287315,SGDClassifier,ORB,False,True,True,50.0,0.5,False,20.0
0.462666666667,4.01775665283,3.10976085663,SGDClassifier,ORB,True,False,True,200.0,0.5,False,20.0
0.461333333333,2.77033715248,2.7337082386,BernoulliNB,ORB,True,False,True,50.0,0.25,False,25.0
0.461333333333,4.06437382698,3.1682706356,PassiveAggressiveClassifier,ORB,False,False,True,200.0,0.5,False,15.0
0.461333333333,3.71495881081,3.67142782211,BernoulliNB,ORB,True,True,True,25.0,0.75,False,25.0
0.461333333333,3.25536060333,3.62382850647,SGDClassifier,ORB,False,True,True,25.0,0.5,False,10.0
0.461333333333,4.49860577583,4.07811965942,PassiveAggressiveClassifier,ORB,True,True,True,200.0,0.25,False,5.0
